OS Benchmark experiment
Test Name:,5.0.0,
       ref          kbest:,0.000000027,
       ref        average:,0.000000031,
       cpu          kbest:,0.005078936,
       cpu        average:,0.005096122,
    getpid          kbest:,0.000000123,
    getpid        average:,0.000000157,
context siwtch          kbest:,0.000004140,
context siwtch        average:,0.000004426,
      send          kbest:,0.000000418,
      send        average:,0.000000562,
      recv          kbest:,0.000000387,
      recv        average:,0.000000550,
  big send          kbest:,0.000006739,
  big send        average:,0.000007722,
  big recv          kbest:,0.000007732,
  big recv        average:,0.000008836,
      fork          kbest:,0.000036458,
      fork       average:,0.000041386,
      fork    Child kbest:,0.000060712,
      fork Child average:,0.000070410,
thr create          kbest:,0.000007034,
thr create       average:,0.000008127,
thr create    Child kbest:,0.000013093,
thr create Child average:,0.000014758,
  big fork          kbest:,0.000998022,
  big fork       average:,0.001022503,
  big fork    Child kbest:,0.001052734,
  big fork Child average:,0.001079843,
 huge fork          kbest:,0.002177250,
 huge fork       average:,0.002222098,
 huge fork    Child kbest:,0.002235069,
 huge fork Child average:,0.002282817,
small write          kbest:,0.000001042,
small write        average:,0.000001397,
small read          kbest:,0.000000519,
small read        average:,0.000000654,
small mmap          kbest:,0.000000575,
small mmap        average:,0.000000817,
small munmap          kbest:,0.000002134,
small munmap        average:,0.000002512,
small page fault          kbest:,0.000002156,
small page fault        average:,0.000002536,
 mid write          kbest:,0.000007230,
 mid write        average:,0.000008856,
  mid read          kbest:,0.000003093,
  mid read        average:,0.000003412,
  mid mmap          kbest:,0.000000619,
  mid mmap        average:,0.000000848,
mid munmap          kbest:,0.000005757,
mid munmap        average:,0.000006768,
mid page fault          kbest:,0.000002598,
mid page fault        average:,0.000002929,
 big write          kbest:,0.000908458,
 big write        average:,0.001043970,
  big read          kbest:,0.000462157,
  big read        average:,0.000560569,
  big mmap          kbest:,0.000000604,
  big mmap        average:,0.000000827,
big munmap          kbest:,0.000119220,
big munmap        average:,0.000130635,
big page fault          kbest:,0.000002848,
big page fault        average:,0.000003331,
huge write          kbest:,0.011585437,
huge write        average:,0.012131662,
 huge read          kbest:,0.021818830,
 huge read        average:,0.022311341,
 huge mmap          kbest:,0.000000561,
 huge mmap        average:,0.000000804,
huge munmap          kbest:,0.001230006,
huge munmap        average:,0.001327042,
huge page fault          kbest:,0.000003016,
huge page fault        average:,0.000003411,
    select          kbest:,0.000001081,
    select        average:,0.000001459,
      poll          kbest:,0.000001047,
      poll        average:,0.000001441,
     epoll          kbest:,0.000001266,
     epoll        average:,0.000001735,
select big          kbest:,0.000061789,
select big        average:,0.000091698,
  poll big          kbest:,0.000079582,
  poll big        average:,0.000104735,
 epoll big          kbest:,0.000121413,
 epoll big        average:,0.000135478,

