OS Benchmark experiment
Test Name:,6.4.0,
       ref          kbest:,0.000000035,
       ref        average:,0.000000038,
       cpu          kbest:,0.005059414,
       cpu        average:,0.005077843,
    getpid          kbest:,0.000000142,
    getpid        average:,0.000000175,
      send          kbest:,0.000000463,
      send        average:,0.000000610,
      recv          kbest:,0.000000440,
      recv        average:,0.000000615,
  big send          kbest:,0.000007143,
  big send        average:,0.000008192,
  big recv          kbest:,0.000007429,
  big recv        average:,0.000008296,
      fork          kbest:,0.000050730,
      fork       average:,0.000056970,
      fork    Child kbest:,0.000078786,
      fork Child average:,0.000088387,
thr create          kbest:,0.000005651,
thr create       average:,0.000006441,
thr create    Child kbest:,0.000011451,
thr create Child average:,0.000012838,
  big fork          kbest:,0.003708240,
  big fork       average:,0.003805978,
  big fork    Child kbest:,0.003766676,
  big fork Child average:,0.003868282,
 huge fork          kbest:,0.008157562,
 huge fork       average:,0.008389200,
 huge fork    Child kbest:,0.008221555,
 huge fork Child average:,0.008456258,
small write          kbest:,0.000000852,
small write        average:,0.000001255,
small read          kbest:,0.000000558,
small read        average:,0.000000673,
small mmap          kbest:,0.000001297,
small mmap        average:,0.000001939,
small munmap          kbest:,0.000003000,
small munmap        average:,0.000003610,
small page fault          kbest:,0.000002876,
small page fault        average:,0.000003589,
 mid write          kbest:,0.000004784,
 mid write        average:,0.000006434,
  mid read          kbest:,0.000002896,
  mid read        average:,0.000003189,
  mid mmap          kbest:,0.000001565,
  mid mmap        average:,0.000002453,
mid munmap          kbest:,0.000006988,
mid munmap        average:,0.000009386,
mid page fault          kbest:,0.000003556,
mid page fault        average:,0.000004224,
 big write          kbest:,0.000627230,
 big write        average:,0.000749058,
  big read          kbest:,0.000418816,
  big read        average:,0.000460319,
  big mmap          kbest:,0.000001571,
  big mmap        average:,0.000002457,
big munmap          kbest:,0.000127048,
big munmap        average:,0.000141052,
big page fault          kbest:,0.000004067,
big page fault        average:,0.000004553,
 huge read          kbest:,0.029668853,
 huge read        average:,0.029909664,
 huge mmap          kbest:,0.000001560,
 huge mmap        average:,0.000002416,
huge page fault          kbest:,0.000004059,
huge page fault        average:,0.000004642,
    select          kbest:,0.000001054,
    select        average:,0.000001437,
      poll          kbest:,0.000000775,
      poll        average:,0.000001090,
     epoll          kbest:,0.000001134,
     epoll        average:,0.000001386,
select big          kbest:,0.000068647,
select big        average:,0.000090092,
  poll big          kbest:,0.000066243,
  poll big        average:,0.000082446,

